,TotalCells
A1,487.0
A2,217.0
A3,863.0
A4,58.0
A5,180.0
A6,54.0
A7,296.0
A8,227.0
A9,35.0
A10,19.0
A11,77.0
A12,68.0
A13,8.0
A14,37.0
A15,476.0
A16,18.0
A17,45.0
A18,34.0
A19,235.0
A20,81.0
A21,1414.0
A22,877.0
A23,239.0
A24,3174.0
B1,40.0
B2,67.0
B3,46.0
B4,26.0
B5,56.0
B6,101.0
B7,107.0
B8,35.0
B9,20.0
B10,104.0
B11,85.0
B12,73.0
B13,27.0
B14,1559.0
B15,274.0
B16,427.0
B17,389.0
B18,114.0
B19,93.0
B20,135.0
B21,95.0
B22,144.0
B23,229.0
B24,3631.0
C1,771.0
C2,26.0
C3,863.0
C4,1008.0
C5,144.0
C6,70.0
C7,50.0
C8,20.0
C9,47.0
C10,47.0
C11,232.0
C12,1087.0
C13,83.0
C14,101.0
C15,653.0
C16,116.0
C17,91.0
C18,188.0
C19,67.0
C20,75.0
C21,293.0
C22,32.0
C23,140.0
C24,3813.0
D1,102.0
D2,84.0
D3,49.0
D4,41.0
D5,192.0
D6,236.0
D7,972.0
D8,65.0
D9,493.0
D10,90.0
D11,49.0
D12,805.0
D13,150.0
D14,130.0
D15,330.0
D16,191.0
D17,853.0
D18,174.0
D19,64.0
D20,71.0
D21,293.0
D22,145.0
D23,69.0
D24,3689.0
E1,48.0
E2,1154.0
E3,112.0
E4,290.0
E5,604.0
E6,27.0
E7,852.0
E8,159.0
E9,342.0
E10,230.0
E11,47.0
E12,62.0
E13,478.0
E14,363.0
E15,130.0
E16,198.0
E17,3507.0
E18,63.0
E19,326.0
E20,107.0
E21,85.0
E22,1408.0
E23,101.0
E24,3896.0
F1,198.0
F2,539.0
F3,331.0
F4,184.0
F5,20.0
F6,130.0
F7,888.0
F8,87.0
F9,33.0
F10,1734.0
F11,131.0
F12,307.0
F13,105.0
F14,240.0
F15,485.0
F16,129.0
F17,55.0
F18,1391.0
F19,411.0
F20,210.0
F21,1386.0
F22,276.0
F23,375.0
F24,3840.0
G1,137.0
G2,197.0
G3,46.0
G4,49.0
G5,178.0
G6,752.0
G7,45.0
G8,1230.0
G9,506.0
G10,66.0
G11,26.0
G12,236.0
G13,170.0
G14,230.0
G15,659.0
G16,897.0
G17,30.0
G18,180.0
G19,44.0
G20,26.0
G21,808.0
G22,77.0
G23,177.0
G24,3789.0
H1,357.0
H2,23.0
H3,83.0
H4,56.0
H5,167.0
H6,59.0
H7,51.0
H8,1756.0
H9,31.0
H10,32.0
H11,49.0
H12,329.0
H13,1008.0
H14,24.0
H15,42.0
H16,209.0
H17,85.0
H18,36.0
H19,125.0
H20,1230.0
H21,255.0
H22,489.0
H23,984.0
H24,3697.0
I1,475.0
I2,34.0
I3,39.0
I4,246.0
I5,87.0
I6,85.0
I7,543.0
I8,129.0
I9,31.0
I10,698.0
I11,65.0
I12,992.0
I13,29.0
I14,80.0
I15,204.0
I16,251.0
I17,328.0
I18,503.0
I19,1103.0
I20,465.0
I21,141.0
I22,851.0
I23,270.0
I24,3670.0
J1,969.0
J2,1169.0
J3,412.0
J4,284.0
J5,1792.0
J6,447.0
J7,99.0
J8,137.0
J9,300.0
J10,830.0
J11,79.0
J12,924.0
J13,35.0
J14,52.0
J15,58.0
J16,375.0
J17,124.0
J18,384.0
J19,31.0
J20,1557.0
J21,54.0
J22,45.0
J23,630.0
J24,3572.0
K1,442.0
K2,615.0
K3,110.0
K4,51.0
K5,65.0
K6,101.0
K7,64.0
K8,93.0
K9,251.0
K10,190.0
K11,28.0
K12,99.0
K13,130.0
K14,85.0
K15,3673.0
K16,248.0
K17,65.0
K18,412.0
K19,79.0
K20,86.0
K21,1117.0
K22,63.0
K23,764.0
K24,3788.0
L1,158.0
L2,59.0
L3,303.0
L4,347.0
L5,238.0
L6,181.0
L7,34.0
L8,133.0
L9,126.0
L10,1139.0
L11,90.0
L12,157.0
L13,280.0
L14,1408.0
L15,109.0
L16,1591.0
L17,189.0
L18,1875.0
L19,633.0
L20,169.0
L21,57.0
L22,304.0
L23,145.0
L24,3882.0
M1,78.0
M2,65.0
M3,80.0
M4,65.0
M5,783.0
M6,656.0
M7,59.0
M8,71.0
M9,653.0
M10,154.0
M11,169.0
M12,2020.0
M13,55.0
M14,590.0
M15,52.0
M16,888.0
M17,72.0
M18,88.0
M19,36.0
M20,42.0
M21,389.0
M22,42.0
M23,119.0
M24,3859.0
N1,1276.0
N2,95.0
N3,31.0
N4,48.0
N5,382.0
N6,217.0
N7,1787.0
N8,582.0
N9,202.0
N10,947.0
N11,28.0
N12,767.0
N13,54.0
N14,204.0
N15,69.0
N16,662.0
N17,165.0
N18,3041.0
N19,67.0
N20,207.0
N21,60.0
N22,394.0
N23,1832.0
N24,3696.0
O1,27.0
O2,81.0
O3,381.0
O4,101.0
O5,569.0
O6,63.0
O7,510.0
O8,662.0
O9,41.0
O10,31.0
O11,51.0
O12,418.0
O13,304.0
O14,1317.0
O15,28.0
O16,182.0
O17,170.0
O18,54.0
O19,296.0
O20,230.0
O21,1344.0
O22,67.0
O23,168.0
O24,3718.0
P1,255.0
P2,856.0
P3,144.0
P4,39.0
P5,491.0
P6,1755.0
P7,28.0
P8,180.0
P9,351.0
P10,853.0
P11,7.0
P12,15.0
P13,94.0
P14,184.0
P15,8.0
P16,658.0
P17,949.0
P18,96.0
P19,31.0
P20,47.0
P21,31.0
P22,21.0
P23,319.0
P24,3185.0
