Row	Col	WellName	Nuclei Selected - Number of Objects	Number of Analyzed Fields	Well URL
1	1	A1	470	1	http://columbus.cnpem.br/browse/measurement/14342/well=1.1
1	2	A2	264	1	http://columbus.cnpem.br/browse/measurement/14342/well=1.2
1	3	A3	828	1	http://columbus.cnpem.br/browse/measurement/14342/well=1.3
1	4	A4	162	1	http://columbus.cnpem.br/browse/measurement/14342/well=1.4
1	5	A5	199	1	http://columbus.cnpem.br/browse/measurement/14342/well=1.5
1	6	A6	172	1	http://columbus.cnpem.br/browse/measurement/14342/well=1.6
1	7	A7	314	1	http://columbus.cnpem.br/browse/measurement/14342/well=1.7
1	8	A8	238	1	http://columbus.cnpem.br/browse/measurement/14342/well=1.8
1	9	A9	127	1	http://columbus.cnpem.br/browse/measurement/14342/well=1.9
1	10	A10	157	1	http://columbus.cnpem.br/browse/measurement/14342/well=1.10
1	11	A11	138	1	http://columbus.cnpem.br/browse/measurement/14342/well=1.11
1	12	A12	94	1	http://columbus.cnpem.br/browse/measurement/14342/well=1.12
1	13	A13	120	1	http://columbus.cnpem.br/browse/measurement/14342/well=1.13
1	14	A14	100	1	http://columbus.cnpem.br/browse/measurement/14342/well=1.14
1	15	A15	490	1	http://columbus.cnpem.br/browse/measurement/14342/well=1.15
1	16	A16	123	1	http://columbus.cnpem.br/browse/measurement/14342/well=1.16
1	17	A17	96	1	http://columbus.cnpem.br/browse/measurement/14342/well=1.17
1	18	A18	102	1	http://columbus.cnpem.br/browse/measurement/14342/well=1.18
1	19	A19	240	1	http://columbus.cnpem.br/browse/measurement/14342/well=1.19
1	20	A20	157	1	http://columbus.cnpem.br/browse/measurement/14342/well=1.20
1	21	A21	1383	1	http://columbus.cnpem.br/browse/measurement/14342/well=1.21
1	22	A22	854	1	http://columbus.cnpem.br/browse/measurement/14342/well=1.22
1	23	A23	247	1	http://columbus.cnpem.br/browse/measurement/14342/well=1.23
1	24	A24	2985	1	http://columbus.cnpem.br/browse/measurement/14342/well=1.24
2	1	B1	122	1	http://columbus.cnpem.br/browse/measurement/14342/well=2.1
2	2	B2	168	1	http://columbus.cnpem.br/browse/measurement/14342/well=2.2
2	3	B3	145	1	http://columbus.cnpem.br/browse/measurement/14342/well=2.3
2	4	B4	227	1	http://columbus.cnpem.br/browse/measurement/14342/well=2.4
2	5	B5	158	1	http://columbus.cnpem.br/browse/measurement/14342/well=2.5
2	6	B6	191	1	http://columbus.cnpem.br/browse/measurement/14342/well=2.6
2	7	B7	151	1	http://columbus.cnpem.br/browse/measurement/14342/well=2.7
2	8	B8	168	1	http://columbus.cnpem.br/browse/measurement/14342/well=2.8
2	9	B9	115	1	http://columbus.cnpem.br/browse/measurement/14342/well=2.9
2	10	B10	156	1	http://columbus.cnpem.br/browse/measurement/14342/well=2.10
2	11	B11	139	1	http://columbus.cnpem.br/browse/measurement/14342/well=2.11
2	12	B12	104	1	http://columbus.cnpem.br/browse/measurement/14342/well=2.12
2	13	B13	111	1	http://columbus.cnpem.br/browse/measurement/14342/well=2.13
2	14	B14	1554	1	http://columbus.cnpem.br/browse/measurement/14342/well=2.14
2	15	B15	310	1	http://columbus.cnpem.br/browse/measurement/14342/well=2.15
2	16	B16	437	1	http://columbus.cnpem.br/browse/measurement/14342/well=2.16
2	17	B17	407	1	http://columbus.cnpem.br/browse/measurement/14342/well=2.17
2	18	B18	256	1	http://columbus.cnpem.br/browse/measurement/14342/well=2.18
2	19	B19	162	1	http://columbus.cnpem.br/browse/measurement/14342/well=2.19
2	20	B20	198	1	http://columbus.cnpem.br/browse/measurement/14342/well=2.20
2	21	B21	123	1	http://columbus.cnpem.br/browse/measurement/14342/well=2.21
2	22	B22	174	1	http://columbus.cnpem.br/browse/measurement/14342/well=2.22
2	23	B23	268	1	http://columbus.cnpem.br/browse/measurement/14342/well=2.23
2	24	B24	3453	1	http://columbus.cnpem.br/browse/measurement/14342/well=2.24
3	1	C1	748	1	http://columbus.cnpem.br/browse/measurement/14342/well=3.1
3	2	C2	147	1	http://columbus.cnpem.br/browse/measurement/14342/well=3.2
3	3	C3	865	1	http://columbus.cnpem.br/browse/measurement/14342/well=3.3
3	4	C4	1022	1	http://columbus.cnpem.br/browse/measurement/14342/well=3.4
3	5	C5	189	1	http://columbus.cnpem.br/browse/measurement/14342/well=3.5
3	6	C6	148	1	http://columbus.cnpem.br/browse/measurement/14342/well=3.6
